Game,Year,Genre,Publisher, Copies Sold  (Millions) North America, Copies Sold  (Millions) Europe, Copies Sold  (Millions) Japan, Copies Sold  (Millions) Rest of countries, Copies Sold  (Millions) Global,plataforma
Call of Duty: Modern Warfare Remastered,2017.0,Shooter,Activision,0.17,0.3,0.03,0.09,0.58,PlayStation 4
Dragon Quest Builders: Revive Alefgard,2016.0,Role-Playing,Square Enix,0.12,0.17,0.24,0.06,0.58,PlayStation 4
The Lego Ninjago Movie Videogame,2017.0,Action,Warner Bros. Interactive Entertainment,0.16,0.32,0.0,0.09,0.57,PlayStation 4
Resident Evil: Revelations 2,2015.0,Action,Capcom,0.14,0.25,0.11,0.07,0.57,PlayStation 4
Rock Band 4,2015.0,Music,Harmonix Music Systems,0.41,0.06,0.0,0.1,0.57,PlayStation 4
NHL 18,2017.0,Sports,EA Sports,0.31,0.16,0.0,0.1,0.57,PlayStation 4
Everybody's Golf,2017.0,Sports,Sony Interactive Entertainment,0.12,0.22,0.17,0.06,0.56,PlayStation 4
The Amazing Spider-Man 2 (2014),2014.0,Action-Adventure,Activision,0.2,0.26,0.02,0.09,0.56,PlayStation 4
DOOM VFR,2017.0,Shooter,Bethesda Softworks,0.22,0.25,0.0,0.09,0.56,PlayStation 4
Sonic Forces,2017.0,Platform,Sega,0.15,0.31,0.01,0.09,0.56,PlayStation 4
Kingdom Come: Deliverance,2018.0,Role-Playing,Deep Silver,0.18,0.28,0.0,0.09,0.56,PlayStation 4
Lords of the Fallen,2014.0,Role-Playing,Square Enix,0.2,0.24,0.02,0.09,0.55,PlayStation 4
Sniper Elite 4,2017.0,Shooter,Rebellion Developments,0.21,0.25,0.0,0.09,0.55,PlayStation 4
Rory McIlroy PGA Tour,2015.0,Sports,Electronic Arts,0.19,0.27,0.0,0.09,0.55,PlayStation 4
Project CARS 2,2017.0,Racing,Namco Bandai Games,0.1,0.35,0.02,0.08,0.55,PlayStation 4
Skylanders: Trap Team,2014.0,Platform,Activision,0.25,0.18,0.0,0.09,0.52,PlayStation 4
NHL 17,2016.0,Sports,EA Sports,0.32,0.11,0.0,0.09,0.52,PlayStation 4
One Piece: Pirate Warriors 3,2015.0,Action,Namco Bandai Games,0.11,0.22,0.11,0.06,0.52,PlayStation 4
DiRT Rally,2016.0,Racing,Codemasters,0.13,0.3,0.0,0.08,0.51,PlayStation 4
Homefront: The Revolution,2016.0,Shooter,Deep Silver,0.11,0.29,0.04,0.07,0.5,PlayStation 4
Attack on Titan (KOEI),2016.0,Action,Tecmo Koei,0.08,0.24,0.12,0.06,0.5,PlayStation 4
DiRT 4,2017.0,Racing,Codemasters,0.1,0.3,0.02,0.07,0.49,PlayStation 4
Farpoint,2017.0,Shooter,Sony Interactive Entertainment,0.0,0.38,0.04,0.06,0.48,PlayStation 4
Battleborn,2016.0,Shooter,2K Games,0.25,0.12,0.03,0.08,0.48,PlayStation 4
A Way Out,2018.0,Action,Electronic Arts,0.23,0.16,0.0,0.08,0.48,PlayStation 4
Friday the 13th: The Game,2017.0,Action,Gun Media,0.29,0.09,0.03,0.08,0.48,PlayStation 4
The Walking Dead: A Telltale Games Series,2014.0,Adventure,Telltale Games,0.12,0.26,0.03,0.07,0.48,PlayStation 4
Wolfenstein: The Old Blood,2015.0,Shooter,Bethesda Softworks,0.13,0.25,0.02,0.07,0.48,PlayStation 4
Deadpool,2015.0,Action,Activision,0.26,0.13,0.0,0.08,0.47,PlayStation 4
Dragon Quest Heroes II: Twin Kings and the Prophecy's End,2016.0,Action,Square Enix,0.05,0.09,0.3,0.03,0.47,PlayStation 4
TrackMania Turbo,2016.0,Racing,Ubisoft,0.04,0.35,0.0,0.07,0.47,PlayStation 4
Knack 2,2017.0,Platform,Sony Interactive Entertainment,0.14,0.25,0.01,0.07,0.47,PlayStation 4
Just Dance 2014,2013.0,Music,Ubisoft,0.21,0.18,0.0,0.08,0.47,PlayStation 4
Dissidia Final Fantasy NT,2018.0,Fighting,Square Enix,0.19,0.06,0.16,0.05,0.46,PlayStation 4
Skylanders: SuperChargers,2015.0,Action-Adventure,Activision,0.29,0.09,0.0,0.08,0.45,PlayStation 4
